KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-afghani-culture-num1;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;Badakhshan;x
dynamic-afghani-oghuz-culture-num1;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;Badakhshan-Oghuz;x
dynamic-afghani-panjabi-culture-num1;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;Afghan-Punjabi;x
dynamic-al_suryah_arabic-culture-num1;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;Badarayani;x
dynamic-al_suryah_arabic-culture-num2;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;Dausarian;x
dynamic-al_suryah_arabic-culture-num3;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;Dausarian-Philippopolisian;x
dynamic-amhara-somali-culture-num1;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;Somali-Ethiopian;x
dynamic-andalucian-culture-num1;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;Andaluso-Baranis;x
dynamic-andalucian-culture-num2;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;x
dynamic-armenian-culture-num1;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;Aintabian;x
dynamic-armenian-oghuz-culture-num1;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;Armeno-Oghuz;x
dynamic-assamese-nepali-culture-num1;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;Lhomo-Kamrupi;x
dynamic-bavarian-culture-num1;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;Nordgauer;x
dynamic-bedouin_arabic-berber-culture-num1;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;Ghatian;x
dynamic-bedouin_arabic-culture-num1;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;Jawf al-Yamanian;x
dynamic-bedouin_arabic-oghuz-culture-num1;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;Bedouin-Oghuz;x
dynamic-bengali-culture-num1;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;Vanga;x
dynamic-berber-culture-num1;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;Walatan;x
dynamic-berber-culture-num2;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;Yorubo-Walatan;x
dynamic-breton-cosmopolitan_french-culture-num1;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;Arvorigeg;x
dynamic-burmese-rajput-culture-num1;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;Burmo-Rajasthani;x
dynamic-buryat-culture-num1;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;Gorlog;x
dynamic-chihan-oirats-culture-num1;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;Yughuro-Tuyuhun;x
dynamic-chihan-tangut-culture-num1;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;Sino-Tangut;x
dynamic-cosmopolitan_french-culture-num1;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;Vermandoisian;x
dynamic-cosmopolitan_french-culture-num2;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;Viennoisan;x
dynamic-cuman-culture-num1;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;Akmolan;x
dynamic-cuman-culture-num2;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;Jemban;x
dynamic-czech-hungarian-culture-num1;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;Hungaro-Czech;x
dynamic-daju-zaghawa-culture-num1;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;Daju-Zaghawa;x
dynamic-english-welsh-culture-num1;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;Welsh-English;x
dynamic-finnish-greek-culture-num1;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;Finno-Philippopolisian;x
dynamic-franconian-italian-culture-num1;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;Italo-Franconian;x
dynamic-franconian-italian-culture-num2;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;Wormsian;x
dynamic-german-culture-num1;Balten;Balten;Balten;Balten;Balten;Balten;Balten;Balten;Balten;Balten;Balten;Balten;Balten;x
dynamic-greek-culture-num1;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;Antipatreian;x
dynamic-greek-culture-num2;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;Philippopolisian;x
dynamic-greek-culture-num3;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;Alexandrettan;x
dynamic-greek-culture-num4;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;Cypriot;x
dynamic-greek-culture-num5;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;Arbanoni;x
dynamic-hausa-mossi-culture-num1;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;Hausa-Mossi;x
dynamic-hungarian-culture-num1;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;Gyorian;x
dynamic-hungarian-culture-num2;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;Somogian;x
dynamic-kannada-marathi-culture-num1;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;Maratha-Kannada;x
dynamic-karelian-samoyed-culture-num1;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;Karelo-Bjarmian;x
dynamic-kirgiz-culture-num1;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;Kiziri;x
dynamic-kurdish-al_suryah_arabic-culture-num1;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;x
dynamic-mali-bozo-culture-num1;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;Sorko-Gur;x
dynamic-mali-soninke-culture-num1;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;Malinke-Soninke;x
dynamic-mazandarani-oghuz-culture-num1;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;Daylami-Oghuz;x
dynamic-mordvin-culture-num1;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;Mordvino-Bolghar;x
dynamic-nepali-culture-num1;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;Kannada-Nepali;x
dynamic-norse-culture-num1;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;Norse-Gael;x
dynamic-norwegian-culture-num1;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;Herdæler;x
dynamic-nubian-culture-num1;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;Enubian;x
dynamic-occitain-culture-num1;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;Basco-Occitan;x
dynamic-oghuz-culture-num1;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;Turko-Mongol;x
dynamic-ostyaki-culture-num1;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;Barnaulan;x
dynamic-ostyaki-culture-num2;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;Chichan;x
dynamic-ostyaki-culture-num3;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;Barnaulan-Laktan;x
dynamic-persian-culture-num1;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;Isfahani;x
dynamic-polish-culture-num1;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;Gnieznan;x
dynamic-polish-culture-num2;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;Kuyavian;x
dynamic-polish-culture-num3;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;Bytomian;x
dynamic-russian_culture-culture-num1;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;Vladimiran;x
dynamic-russian_culture-culture-num2;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;Berestyan;x
dynamic-russian_culture-culture-num3;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;Novosilian;x
dynamic-russian_culture-culture-num4;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;Meryo-Russian;x
dynamic-samoyed-vepsian-culture-num1;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;Vepso-Bjarmian;x
dynamic-sapmi-culture-num1;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;Sjeltian;x
dynamic-sardinian-culture-num1;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;Sartosan;x
dynamic-saxon-culture-num1;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;Braunschweiger;x
dynamic-sinhala-tamil-culture-num1;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;Sinhala-Tamil;x
dynamic-sumpa-culture-num1;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;Baingoin;x
dynamic-swabian-culture-num1;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;Bernian;x
dynamic-swabian-culture-num2;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;Breisgauer;x
dynamic-tajik-culture-num1;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;Zirkuh;x
dynamic-tajik-oghuz-culture-num1;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;x
dynamic-tajik-oghuz-culture-num2;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;Ghuri;x
dynamic-tibetan-chihan-culture-num1;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;Sino-Bodpa;x
dynamic-tibetan-culture-num1;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;Gyêgumdo;x
dynamic-tibetan-culture-num2;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;Gyaca;x
dynamic-tibetan-kashmiri-culture-num1;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;Kashmiri-Bodpa;x
dynamic-tibetan-nepali-culture-num1;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;Himalayan;x
dynamic-tibetan-tangut-culture-num1;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;Tanguto-Bodpa;x
dynamic-uyghur-culture-num1;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;Barkulian;x
dynamic-uzbehk-khazak-culture-num1;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;Karluko-Naiman;x
dynamic-uzbehk-tajik-culture-num1;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;Tajiki-Karluk;x
dynamic-vepsian-culture-num1;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;x
dynamic-yorumba-culture-num1;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;Gur-Yoruba;x
dynamic-zhangzhung-culture-num1;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;Coqên;x
