PROV29;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;Davaee Kee Topee;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV263;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;Difelin;x
PROV298;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;Baðan;x
PROV300;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;Lundenwic;x
PROV336;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;Uleåborg;x
PROV337;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;Kajana;x
PROV339;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;Vyborg;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV367;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;Ålborg;x
PROV390;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;x
PROV489;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;Tulaytulah;x
PROV493;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;Banbalûna;x
PROV503;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;Balansiyah;x
PROV505;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;al-Laqant;x
PROV506;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;al-Qartâjanna;x
PROV508;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;al-Basit;x
PROV510;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;Qurtubah;x
PROV512;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;al-Qâdis;x
PROV515;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;al-Mariyya;x
PROV517;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;Jabal Tarîq;x
PROV522;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;Qulumriya;x
PROV524;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;Shatûbar;x
PROV576;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;x
PROV604;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;x
PROV632;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;Olmütz;x
PROV640;Peç;Peç;Peç;Peç;Peç;Peç;Peç;Peç;Peç;Peç;Peç;Peç;Peç;x
PROV642;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;Yanïkkale;x
PROV643;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;Istolni Belgrad;x
PROV647;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;Varat;x
PROV654;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;Kalošvar;x
PROV664;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;Bükreš;x
PROV674;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;Köstence;x
PROV689;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;Teschen;x
PROV712;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;Litzmannstadt;x
PROV721;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;Aoste;x
PROV724;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;Gênes;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV768;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;Lubiana;x
PROV780;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;Spalato;x
PROV781;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;Zara;x
PROV783;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;Saray;x
PROV800;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;Ülgün;x
PROV807;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;Manastïr;x
PROV815;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;Filibe;x
PROV847;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;Hanya;x
PROV850;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;Iškodra;x
PROV851;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;Dïraç;x
PROV852;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;Avlonya;x
PROV853;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;Ergeri;x
PROV2583;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;Çetince;x
